iter	Passed	Remaining
0	145	145020
1	145	72816
2	146	48716
3	147	36688
4	148	29453
5	148	24633
6	149	21206
7	150	18633
8	151	16636
9	151	15030
10	152	13712
11	153	12613
12	153	11689
13	154	10892
14	155	10202
15	156	9598
16	156	9062
17	157	8584
18	158	8160
19	158	7776
20	159	7428
21	160	7112
22	160	6828
23	161	6563
24	162	6321
25	162	6097
26	163	5890
27	164	5697
28	164	5518
29	165	5356
30	166	5200
31	167	5053
32	167	4914
33	168	4785
34	169	4663
35	169	4547
36	170	4438
37	171	4335
38	171	4236
39	172	4150
40	173	4063
41	174	3981
42	175	3900
43	176	3832
44	177	3757
45	177	3684
46	178	3615
47	179	3550
48	179	3487
49	180	3434
50	181	3376
51	182	3319
52	183	3270
53	183	3218
54	184	3170
55	185	3124
56	186	3078
57	186	3035
58	187	2992
59	188	2949
60	188	2908
61	189	2872
62	190	2837
63	191	2800
64	192	2766
65	193	2739
66	194	2707
67	195	2674
68	195	2641
69	196	2610
70	197	2580
71	197	2551
72	198	2523
73	199	2495
74	200	2470
75	201	2446
76	202	2421
77	202	2397
78	203	2373
79	204	2349
80	204	2325
81	205	2304
82	206	2279
83	207	2257
84	207	2237
85	208	2216
86	209	2195
87	209	2175
88	210	2157
89	211	2137
90	212	2118
91	212	2099
92	213	2081
93	214	2066
94	215	2049
95	215	2032
96	216	2016
97	217	1999
98	217	1982
99	218	1966
100	219	1950
101	219	1934
102	220	1919
103	221	1904
104	221	1889
105	222	1874
106	222	1860
107	223	1846
108	224	1834
109	225	1822
110	225	1808
111	226	1795
112	227	1782
113	227	1771
114	228	1759
115	229	1747
116	229	1734
117	230	1725
118	231	1714
119	232	1704
120	233	1696
121	234	1684
122	234	1673
123	235	1662
124	235	1651
125	236	1641
126	237	1630
127	237	1619
128	238	1610
129	239	1599
130	239	1589
131	240	1579
132	240	1570
133	241	1560
134	242	1550
135	242	1542
136	243	1533
137	244	1524
138	244	1515
139	245	1506
140	245	1498
141	246	1488
142	246	1480
143	247	1472
144	248	1464
145	248	1456
146	249	1447
147	250	1439
148	250	1431
149	251	1424
150	251	1416
151	252	1409
152	253	1401
153	253	1393
154	254	1386
155	254	1378
156	255	1371
157	256	1364
158	256	1357
159	257	1351
160	257	1343
161	258	1337
162	259	1330
163	259	1323
164	260	1317
165	260	1310
166	261	1304
167	262	1298
168	262	1291
169	263	1285
170	263	1279
171	264	1273
172	265	1267
173	265	1261
174	266	1255
175	267	1250
176	267	1244
177	268	1238
178	268	1233
179	269	1227
180	270	1221
181	270	1216
182	271	1211
183	272	1206
184	272	1201
185	273	1195
186	273	1190
187	274	1184
188	274	1179
189	275	1174
190	276	1169
191	276	1164
192	277	1159
193	277	1154
194	278	1149
195	279	1144
196	279	1140
197	280	1135
198	280	1130
199	281	1126
200	282	1121
201	282	1116
